source,target,mode_of_regulation,weight
ADA2,SNORD55,1,1
ADA2,SNORD68,1,1
ADA2,SNORD84,1,1
ADA2,SNRNP27,1,1
ADA2,SNRPB,1,1
ADA2,SNRPD1,1,1
ADA2,SNRPD3,1,1
ADA2,SNX16,1,1
ADA2,SOX5,1,1
ADA2,SPAG8,1,1
ADA2,SPDL1,1,1
ADA2,SPHK2,1,1
ADA2,SPRED3,1,1
ADA2,SPRING1,1,1
ADA2,SREK1IP1,1,1
ADA2,SRSF2,1,1
ADA2,SSBP1,1,1
ADA2,SSBP2,1,1
ADA2,ST6GALNAC6,1,1
ADA2,STARD10,1,1
ADA2,STARD3,1,1
ADA2,STIM2,1,1
ADA2,STK3,1,1
ADA2,STMN3,1,1
ADA2,STMP1,1,1
ADA2,STOML2,1,1
ADA2,STX16,1,1
ADA2,STX16-NPEPL1,1,1
ADA2,STX18,1,1
ADA2,STX18-AS1,1,1
ADA2,STX6,1,1
ADA2,SUGCT,1,1
ADA2,SUGT1,1,1
ADA2,SUGT1-DT,1,1
ADA2,SUPT7L,1,1
ADA2,SYNPO,1,1
ADA2,TACC3,1,1
ADA2,TACO1,1,1
ADA2,TAF12,1,1
ADA2,TAF12-DT,1,1
ADA2,TAGAP-AS1,1,1
ADA2,TARS2,1,1
ADA2,TATDN3,1,1
ADA2,TBC1D13,1,1
ADA2,TBC1D19,1,1
ADA2,TCP1,1,1
ADA2,TDP1,1,1
ADA2,TDP2,1,1
ADA2,TECPR1,1,1
ADA2,TEDC1,1,1
ADA2,TEFM,1,1
ADA2,TENM2,1,1
ADA2,TES,1,1
ADA2,TESC,1,1
ADA2,TESC-AS1,1,1
ADA2,TEX38,1,1
ADA2,TGFB3,1,1
ADA2,TGS1,1,1
ADA2,THAP10,1,1
ADA2,THEM4,1,1
ADA2,THUMPD1,1,1
ADA2,TIGD1,1,1
ADA2,TIGD5,1,1
ADA2,TIGD6,1,1
ADA2,TIMM29,1,1
ADA2,TIMM9,1,1
ADA2,TMA16,1,1
ADA2,TMEM101,1,1
ADA2,TMEM128,1,1
ADA2,TMEM129,1,1
ADA2,TMEM132A,1,1
ADA2,TMEM203,1,1
ADA2,TMEM222,1,1
ADA2,TMEM242,1,1
ADA2,TMEM242-DT,1,1
ADA2,TMEM41A,1,1
ADA2,TMEM68,1,1
ADA2,TMEM69,1,1
ADA2,TMX4-AS1,1,1
ADA2,TNPO1,1,1
ADA2,TNPO3,1,1
ADA2,TNRC18,1,1
ADA2,TOP3B,1,1
ADA2,TOR1AIP1,1,1
ADA2,TOR1B,1,1
ADA2,TPI1P2,1,1
ADA2,TRABD,1,1
ADA2,TRDMT1,1,1
ADA2,TRIM35,1,1
ADA2,TRIP4,1,1
ADA2,TRMU,1,1
ADA2,TRUB2,1,1
ADA2,TSC22D4,1,1
ADA2,TSEN15,1,1
ADA2,TSEN54,1,1
ADA2,TSPAN10,1,1
ADA2,TSSC4,1,1
ADA2,TTC23L,1,1
ADA2,TTC23L-AS1,1,1
ADA2,TTC4,1,1
ADA2,TUBGCP3,1,1
ADA2,TUBGCP4,1,1
ADA2,TUFM,1,1
ADA2,TUT1,1,1
ADA2,TUT7,1,1
ADA2,TVP23B,1,1
ADA2,TXN2,1,1
ADA2,TXNDC9,1,1
ADA2,TYR,1,1
ADA2,TYW5,1,1
ADA2,UBA5,1,1
ADA2,UBE2I,1,1
ADA2,UBE3B,1,1
ADA2,UBE3C,1,1
ADA2,UBIAD1,1,1
ADA2,UNC50,1,1
ADA2,UQCC1,1,1
ADA2,UQCC6,1,1
ADA2,USP30,1,1
ADA2,USPL1,1,1
ADA2,UTP3,1,1
ADA2,VARS2,1,1
ADA2,VCPIP1,1,1
ADA2,VPS13B,1,1
ADA2,VPS13B-DT,1,1
ADA2,VPS16,1,1
ADA2,VPS25,1,1
ADA2,VPS36,1,1
ADA2,VPS45,1,1
ADA2,VPS51,1,1
ADA2,VPS52,1,1
ADA2,VPS9D1,1,1
ADA2,VTI1A,1,1
ADA2,VWA8,1,1
ADA2,VWA8-AS1,1,1
ADA2,WARS1,1,1
ADA2,WDPCP,1,1
ADA2,WDR11,1,1
ADA2,WDR11-DT,1,1
ADA2,WDR24,1,1
ADA2,WDR25,1,1
ADA2,WDR31,1,1
ADA2,WDR36,1,1
ADA2,WDR83,1,1
ADA2,WDR83OS,1,1
ADA2,WEE2-AS1,1,1
ADA2,WNT2B,1,1
ADA2,WRAP53,1,1
ADA2,WSCD1,1,1
ADA2,YBEY,1,1
ADA2,YEATS2,1,1
ADA2,YEATS2-AS1,1,1
ADA2,YIPF2,1,1
ADA2,YIPF3,1,1
ADA2,YJU2,1,1
ADA2,YWHAE,1,1
ADA2,YY1,1,1
ADA2,ZBED9-AS1,1,1
ADA2,ZBTB11,1,1
ADA2,ZBTB11-AS1,1,1
ADA2,ZBTB20,1,1
ADA2,ZBTB20-AS4,1,1
ADA2,ZBTB45,1,1
ADA2,ZBTB46-AS1,1,1
